timestamp,bot_name,action,symbol,price,quantity,amount_usdt,pnl,pnl_percent,reasoning
2026-07-30T23:10:58.097201,ArbitrageScanner,SIGNAL,ALGO/USDT,0.079310,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.315%
2026-07-30T23:10:58.099204,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078820,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.292%
2026-07-30T23:10:58.100204,ArbitrageScanner,SIGNAL,ENJ/USDT,0.024940,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.281%
2026-07-30T23:12:06.449888,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078820,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.292%
2026-07-30T23:12:06.450889,ArbitrageScanner,SIGNAL,SAND/USDT,0.041250,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.267%
2026-07-30T23:12:06.451889,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.216%
2026-07-30T23:13:14.886680,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078820,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.292%
2026-07-30T23:13:14.888682,ArbitrageScanner,SIGNAL,SAND/USDT,0.041240,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.291%
2026-07-30T23:13:14.889683,ArbitrageScanner,SIGNAL,COMP/USDT,16.690000,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.240%
2026-07-30T23:14:24.199870,ArbitrageScanner,SIGNAL,BAT/USDT,0.066710,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.300%
2026-07-30T23:14:24.200871,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078820,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.292%
2026-07-30T23:14:24.202873,ArbitrageScanner,SIGNAL,SAND/USDT,0.041240,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.291%
2026-07-30T23:15:32.214721,ArbitrageScanner,SIGNAL,1INCH/USDT,0.085800,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.326%
2026-07-30T23:15:32.215723,ArbitrageScanner,SIGNAL,BAT/USDT,0.066710,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.300%
2026-07-30T23:15:32.216724,ArbitrageScanner,SIGNAL,COMP/USDT,16.680000,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.300%
2026-07-30T23:16:09.012647,DCA_Bot,BUY,BTC/USDT,64786.010000,0.000772,50.00,0.00,0.00,DCA buy
2026-07-30T23:16:40.386738,ArbitrageScanner,SIGNAL,COMP/USDT,16.680000,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.300%
2026-07-30T23:16:40.388741,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078820,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.292%
2026-07-30T23:16:40.389741,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.252%
2026-07-30T23:17:48.968956,ArbitrageScanner,SIGNAL,SAND/USDT,0.041220,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.340%
2026-07-30T23:17:48.969957,ArbitrageScanner,SIGNAL,COMP/USDT,16.680000,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.300%
2026-07-30T23:17:48.970958,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078820,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.292%
2026-07-30T23:18:57.508911,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078820,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.292%
2026-07-30T23:18:57.510914,ArbitrageScanner,SIGNAL,SAND/USDT,0.041190,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.291%
2026-07-30T23:18:57.512916,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.289%
2026-07-30T23:20:07.254001,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078710,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.241%
2026-07-30T23:20:07.255002,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.240%
2026-07-30T23:20:07.256003,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.216%
2026-07-30T23:21:16.162562,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.385%
2026-07-30T23:21:16.164566,ArbitrageScanner,SIGNAL,SAND/USDT,0.041190,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.316%
2026-07-30T23:21:16.165565,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.269%
2026-07-30T23:22:24.575092,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.385%
2026-07-30T23:22:24.576097,ArbitrageScanner,SIGNAL,BAT/USDT,0.066810,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.284%
2026-07-30T23:22:24.577094,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.269%
2026-07-30T23:23:34.455752,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.385%
2026-07-30T23:23:34.457754,ArbitrageScanner,SIGNAL,SAND/USDT,0.041190,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.340%
2026-07-30T23:23:34.458755,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.337%
2026-07-30T23:24:41.964947,ArbitrageScanner,SIGNAL,BAT/USDT,0.066800,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.404%
2026-07-30T23:24:41.966951,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.337%
2026-07-30T23:24:41.967951,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.337%
2026-07-30T23:25:50.188308,ArbitrageScanner,SIGNAL,BAT/USDT,0.066800,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.404%
2026-07-30T23:25:50.190309,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.337%
2026-07-30T23:25:50.192311,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.337%
2026-07-30T23:26:57.861645,ArbitrageScanner,SIGNAL,BAT/USDT,0.066800,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.404%
2026-07-30T23:26:57.862645,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.337%
2026-07-30T23:26:57.863647,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.269%
2026-07-30T23:28:05.719829,ArbitrageScanner,SIGNAL,BAT/USDT,0.066850,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.329%
2026-07-30T23:28:05.720830,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.269%
2026-07-30T23:28:05.721831,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.216%
2026-07-30T23:29:22.271729,ArbitrageScanner,SIGNAL,BAT/USDT,0.066830,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.359%
2026-07-30T23:29:22.272730,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.202%
2026-07-30T23:29:22.273731,ArbitrageScanner,SIGNAL,SHIB/USDT,0.000005,0.000000,0.00,0.00,0.00,Buy okx Sell bybit Spread 0.194%
