2026-07-30 21:45:24 INFO     | DCA_Bot              |   Avg price: $64,946.00
2026-07-30 21:45:24 INFO     | DCA_Bot              | ==================================================
2026-07-30 21:45:24 INFO     | DCA_Bot              | 🤖 Asking AI to check news...
2026-07-30 21:45:24 INFO     | DCA_Bot              | No news fetched. AI will decide based on general knowledge.
2026-07-30 21:45:27 INFO     | DCA_Bot              | AI decision: BUY (confidence: 90%) — No red flags detected in recent news.
2026-07-30 21:45:27 INFO     | DCA_Bot              | ✅ AI says BUY: No red flags detected in recent news.
2026-07-30 21:45:27 INFO     | DCA_Bot              | 🔸 PAPER TRADE: Would buy $50 of BTC/USDT at $64,732.00
2026-07-30 21:45:28 INFO     | DCA_Bot              | ⏰ Next buy in 1h (at ~21:45)
2026-07-30 21:58:19 INFO     | DCA_Bot              | ⏹️  Shutdown signal received.
2026-07-30 21:58:19 INFO     | DCA_Bot              | ==================================================
2026-07-30 21:58:19 INFO     | DCA_Bot              |   📊 DCA STATISTICS
2026-07-30 21:58:19 INFO     | DCA_Bot              |   Runtime: 1:13:00.923948
2026-07-30 21:58:19 INFO     | DCA_Bot              |   Orders executed: 2
2026-07-30 21:58:19 INFO     | DCA_Bot              |   Orders skipped: 0
2026-07-30 21:58:19 INFO     | DCA_Bot              |   Total spent: $100.00
2026-07-30 21:58:19 INFO     | DCA_Bot              |   Total bought: 0.001542 BTC
2026-07-30 21:58:19 INFO     | DCA_Bot              |   Avg price: $64,838.82
2026-07-30 21:58:19 INFO     | DCA_Bot              | ==================================================
2026-07-30 22:15:56 INFO     | DCA_Bot              | Exchange client: BINANCE (testnet)
2026-07-30 22:15:58 INFO     | DCA_Bot              | AI: RouterAI ready (complex: deepseek/deepseek-chat, fast: openai/gpt-4o-mini)
2026-07-30 22:15:58 INFO     | DCA_Bot              | AI: Ollama ready (model: llama3.2)
2026-07-30 22:15:58 INFO     | DCA_Bot              | 🚀 DCA Bot STARTED | BTC/USDT | $50 every 1h
2026-07-30 22:15:58 INFO     | DCA_Bot              | 📊 DCA | Spent: $0.000000 | Bought: 0.000000 | Avg: $0.000000 | Skipped: 0
2026-07-30 22:16:02 INFO     | DCA_Bot              | AI decision: BUY — No red flags detected in recent news
