2026-07-30 13:31:24 ERROR    | ArbitrageScanner     | fetch_ticker(SOL/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:24 ERROR    | ArbitrageScanner     | fetch_ticker(XRP/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:25 ERROR    | ArbitrageScanner     | fetch_ticker(XRP/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:26 ERROR    | ArbitrageScanner     | fetch_ticker(ADA/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:26 ERROR    | ArbitrageScanner     | fetch_ticker(ADA/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:27 ERROR    | ArbitrageScanner     | fetch_ticker(DOGE/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:27 ERROR    | ArbitrageScanner     | fetch_ticker(DOGE/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:28 ERROR    | ArbitrageScanner     | fetch_ticker(AVAX/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:28 ERROR    | ArbitrageScanner     | fetch_ticker(AVAX/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:29 ERROR    | ArbitrageScanner     | fetch_ticker(DOT/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:29 ERROR    | ArbitrageScanner     | fetch_ticker(DOT/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:30 ERROR    | ArbitrageScanner     | fetch_ticker(LINK/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:30 ERROR    | ArbitrageScanner     | fetch_ticker(LINK/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:31 ERROR    | ArbitrageScanner     | fetch_ticker(MATIC/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:31 ERROR    | ArbitrageScanner     | fetch_ticker(MATIC/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:31 ERROR    | ArbitrageScanner     | fetch_ticker(MATIC/USDT) failed: okx does not have market symbol MATIC/USDT
2026-07-30 13:31:32 ERROR    | ArbitrageScanner     | fetch_ticker(UNI/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:32 ERROR    | ArbitrageScanner     | fetch_ticker(UNI/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:33 ERROR    | ArbitrageScanner     | fetch_ticker(SHIB/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:33 ERROR    | ArbitrageScanner     | fetch_ticker(SHIB/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:34 ERROR    | ArbitrageScanner     | fetch_ticker(LTC/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:34 ERROR    | ArbitrageScanner     | fetch_ticker(LTC/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:35 ERROR    | ArbitrageScanner     | fetch_ticker(ATOM/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:35 ERROR    | ArbitrageScanner     | fetch_ticker(ATOM/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:36 ERROR    | ArbitrageScanner     | fetch_ticker(ETC/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:36 ERROR    | ArbitrageScanner     | fetch_ticker(ETC/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:37 ERROR    | ArbitrageScanner     | fetch_ticker(XLM/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:37 ERROR    | ArbitrageScanner     | fetch_ticker(XLM/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:38 ERROR    | ArbitrageScanner     | fetch_ticker(FIL/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:38 ERROR    | ArbitrageScanner     | fetch_ticker(FIL/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:39 ERROR    | ArbitrageScanner     | fetch_ticker(TRX/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:39 ERROR    | ArbitrageScanner     | fetch_ticker(TRX/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:40 ERROR    | ArbitrageScanner     | fetch_ticker(NEAR/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:41 ERROR    | ArbitrageScanner     | fetch_ticker(NEAR/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:41 ERROR    | ArbitrageScanner     | fetch_ticker(APT/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:42 ERROR    | ArbitrageScanner     | fetch_ticker(APT/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:42 ERROR    | ArbitrageScanner     | fetch_ticker(ARB/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:43 ERROR    | ArbitrageScanner     | fetch_ticker(ARB/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:43 ERROR    | ArbitrageScanner     | fetch_ticker(OP/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:44 ERROR    | ArbitrageScanner     | fetch_ticker(OP/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:44 ERROR    | ArbitrageScanner     | fetch_ticker(SUI/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:45 ERROR    | ArbitrageScanner     | fetch_ticker(SUI/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:45 ERROR    | ArbitrageScanner     | fetch_ticker(PEPE/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:46 ERROR    | ArbitrageScanner     | fetch_ticker(PEPE/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:47 ERROR    | ArbitrageScanner     | fetch_ticker(INJ/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:47 ERROR    | ArbitrageScanner     | fetch_ticker(INJ/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:48 ERROR    | ArbitrageScanner     | fetch_ticker(TIA/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:48 ERROR    | ArbitrageScanner     | fetch_ticker(TIA/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:49 ERROR    | ArbitrageScanner     | fetch_ticker(SEI/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:49 ERROR    | ArbitrageScanner     | fetch_ticker(SEI/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:31:50 ERROR    | ArbitrageScanner     | fetch_ticker(WLD/USDT) failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
